pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.06449050949227735,0.4840568091891232,-0.03899439620212714,0.6750422713527887,120,60.6 (10.4),0.53
"('slowdelta_bandpower_total', 'vol-thalamus')",0.2772436565440902,0.002172393670849479,0.08359646246139826,0.3681203195056947,120,60.6 (10.4),0.53
"('so_rate_f', 'vol-ctx--anterior')",0.06001489944733868,0.514958505948348,0.008217756930603854,0.9296232169257412,120,60.6 (10.4),0.53
"('so_rate_f', 'vol-thalamus')",0.19700935170091988,0.031027163434850735,0.06928202030193142,0.4559814427156802,120,60.6 (10.4),0.53
"('ss_dens_f', 'vol-thalamus')",0.19993762252209707,0.028564938020425944,0.0665411701743435,0.4740397945064315,120,60.6 (10.4),0.53
"('ss_dens_f', 'vol-hippocampus')",-0.019533551372323144,0.8322944118611204,-0.03906323685272815,0.6745010915156766,120,60.6 (10.4),0.53
"('fs_dens_c', 'vol-thalamus')",0.2759491585843556,0.0022831281025534333,0.18034370931795324,0.050673501331515415,120,60.6 (10.4),0.53
"('fs_dens_c', 'vol-hippocampus')",0.16800656792329036,0.06662182869228817,0.17365710275039842,0.06002182537475023,120,60.6 (10.4),0.53
"('perc_r', 'vol-ctx--isthmuscingulate')",0.08592920966104715,0.35072589518268354,0.06838005184224635,0.46188160445936544,120,60.6 (10.4),0.53
"('perc_r', 'vol-amygdala')",-0.041801925606971824,0.6503166034797878,-0.04767342721146781,0.6081997942654339,120,60.6 (10.4),0.53
"('perc_r', 'vol-brain-stem')",-0.1767662726108563,0.05344016636945079,-0.15306657866530982,0.09796604268680553,120,60.6 (10.4),0.53
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",-0.048763082580393045,0.5968772770424955,-0.014672936376448694,0.8746926962720301,120,60.6 (10.4),0.53
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",0.13857034444477725,0.13120545172239786,0.12171849544227971,0.18917823652227514,120,60.6 (10.4),0.53
"('slowdelta_bandpower_total', 'mmse')",0.11560016447959581,0.6939257888710473,0.06047185013703965,0.85190577541529,14,63.0 (8.1),0.21
"('so_rate_f', 'mmse')",0.021949719028134154,0.9406291092289912,-0.01433524600625505,0.9647315199215294,14,63.0 (8.1),0.21
"('vol-ctx--anterior', 'mmse')",0.1527683806781976,0.6020939575685904,0.11274368233557168,0.7271937349388298,14,63.0 (8.1),0.21
"('vol-thalamus', 'mmse')",-0.029622183582601647,0.9199289716441036,-0.21358384108250275,0.5050693391620327,14,63.0 (8.1),0.21
"('ss_dens_f', 'mmse')",0.37157211676029117,0.1908358906449825,0.34046036878534913,0.2788592406233623,14,63.0 (8.1),0.21
"('fs_dens_c', 'mmse')",0.27056271936324333,0.3494878587370654,0.23456060869077594,0.4630637844438984,14,63.0 (8.1),0.21
"('vol-hippocampus', 'mmse')",0.04737244628805422,0.8722396623905022,0.08332295558665274,0.7968337547854015,14,63.0 (8.1),0.21
"('perc_r', 'mmse')",0.3092917978947391,0.2819119404821865,0.4096046110947388,0.18606447401674772,14,63.0 (8.1),0.21
"('vol-ctx--isthmuscingulate', 'mmse')",0.3617138395645976,0.2038022346769895,0.32882337791961314,0.29666730649740863,14,63.0 (8.1),0.21
"('vol-amygdala', 'mmse')",0.14207084975186912,0.6280385855025463,0.12381027689653597,0.7014527955924361,14,63.0 (8.1),0.21
"('vol-brain-stem', 'mmse')",-0.6026650573730217,0.022543398298112003,-0.609535707443094,0.03536481442835961,14,63.0 (8.1),0.21
"('alpha_bandpower_mean_o_w', 'mmse')",0.09223854744373376,0.7538120609988673,0.08931222822396812,0.7825290804856591,14,63.0 (8.1),0.21
"('vol-total_ventricle', 'mmse')",0.2867830846919146,0.3201792234141918,0.424513650069914,0.16897965428642125,14,63.0 (8.1),0.21
