pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.31088957566946906,0.06495933641481794,0.26798152990025603,0.12544313362192644,36,73.3 (11.2),0.58
"('slowdelta_bandpower_total', 'vol-thalamus')",0.34334818624179864,0.040346909680356854,0.06310596528328458,0.7229207549772085,36,73.3 (11.2),0.58
"('so_rate_f', 'vol-ctx--anterior')",0.13449099911853896,0.4341968004452487,0.12818294690847465,0.4700115972047274,36,73.3 (11.2),0.58
"('so_rate_f', 'vol-thalamus')",0.15810025331693583,0.35708484522436945,-0.07841857254418086,0.6593349239106667,36,73.3 (11.2),0.58
"('ss_dens_f', 'vol-thalamus')",0.3609820125141865,0.030542870732140164,0.24770770280070306,0.15781169156831917,36,73.3 (11.2),0.58
"('ss_dens_f', 'vol-hippocampus')",0.32025351896677967,0.05688407607909694,0.1990854775601266,0.2589899684179105,36,73.3 (11.2),0.58
"('fs_dens_c', 'vol-thalamus')",0.23838156956627737,0.16148623434961168,0.18707266787327745,0.2894182357918381,36,73.3 (11.2),0.58
"('fs_dens_c', 'vol-hippocampus')",0.2504342000231504,0.14070591415859252,0.20824048402179948,0.2372720343692286,36,73.3 (11.2),0.58
"('perc_r', 'vol-ctx--isthmuscingulate')",0.04029377656033134,0.8155089999912897,0.023838772302747335,0.8935431198670754,36,73.3 (11.2),0.58
"('perc_r', 'vol-amygdala')",0.012586559453059067,0.9419199696613063,-0.013314470831696472,0.9404253149420357,36,73.3 (11.2),0.58
"('perc_r', 'vol-brain-stem')",-0.035616886358659304,0.8366153966532359,-0.04188966494852489,0.8140352855266451,36,73.3 (11.2),0.58
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",-0.10490286662411621,0.5425988365136862,-0.1357294277224397,0.4440446885802618,36,73.3 (11.2),0.58
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",-0.012122823352815143,0.9440564391674804,-0.02882401768427394,0.8714489499437572,36,73.3 (11.2),0.58
"('slowdelta_bandpower_total', 'mmse')",-0.030480642541932612,0.8901932511910647,-0.14697212293911613,0.5249480150150201,23,71.8 (12.2),0.57
"('so_rate_f', 'mmse')",-0.12300999230427706,0.576047460579114,-0.2576075468160869,0.2595824311684807,23,71.8 (12.2),0.57
"('vol-ctx--anterior', 'mmse')",-0.07435221633577835,0.7359943285164423,-0.160006723696958,0.48841717017393393,23,71.8 (12.2),0.57
"('vol-thalamus', 'mmse')",0.001637993520953479,0.9940817954048529,-0.1449225955877389,0.5308063882596729,23,71.8 (12.2),0.57
"('ss_dens_f', 'mmse')",0.2720997149023953,0.20910341971262114,0.26301539359554904,0.24935873554987012,23,71.8 (12.2),0.57
"('fs_dens_c', 'mmse')",0.0062313602272077336,0.9774881625731755,-0.010228433119579385,0.964901749004935,23,71.8 (12.2),0.57
"('vol-hippocampus', 'mmse')",0.4220928596583299,0.04482660424076307,0.43447461895898287,0.04905537524804573,23,71.8 (12.2),0.57
"('perc_r', 'mmse')",0.016468237488274338,0.9405494703386978,0.040232547736316425,0.8625345515416423,23,71.8 (12.2),0.57
"('vol-ctx--isthmuscingulate', 'mmse')",-0.06739507818953533,0.7599561822010614,-0.030634478742569384,0.8951274811986902,23,71.8 (12.2),0.57
"('vol-amygdala', 'mmse')",0.20844921553839135,0.33984097196643087,0.190697754549408,0.40766200215220094,23,71.8 (12.2),0.57
"('vol-brain-stem', 'mmse')",-0.08399837053268525,0.703164996983622,-0.09229334215725414,0.6907081038145764,23,71.8 (12.2),0.57
"('alpha_bandpower_mean_o_w', 'mmse')",0.4703076177786356,0.02353120394716538,0.46819359858684667,0.03231120536736192,23,71.8 (12.2),0.57
"('vol-total_ventricle', 'mmse')",-0.03725268775620477,0.8659912625226786,0.007995090015391728,0.9725621677271388,23,71.8 (12.2),0.57
