pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('so_rate_f', 'vol-ctx--anterior')","dt all, age all",0.08347893552577915,0.037243562495961786,-0.014250399524797671,0.723023661846703,623,60.9 (12.5),0.55
"('so_rate_f', 'vol-ctx--anterior')","dt all, age younger than 60",-0.011324921443491225,0.8490328790775009,-0.05890096444490277,0.32347622528995545,285,49.9 (7.9),0.61
"('so_rate_f', 'vol-ctx--anterior')","dt all, age between 60-70",0.08019208448228483,0.27526609436887667,0.09648145716975962,0.1914012158451895,187,65.1 (2.9),0.58
"('so_rate_f', 'vol-ctx--anterior')","dt all, age older than 70",-0.014949215926212567,0.8554393432064742,-0.01663881374378634,0.8403810833539587,151,76.6 (4.6),0.39
"('so_rate_f', 'vol-ctx--anterior')","dt within 1 year, age all",0.028369988505512988,0.6592372195104818,-0.03356508676597434,0.6033471650931193,244,60.8 (12.8),0.57
"('so_rate_f', 'vol-ctx--anterior')","dt within 1 year, age younger than 60",-0.1648055446870315,0.08248146081178373,-0.17910094766206597,0.061187784076135864,112,49.4 (7.4),0.62
"('so_rate_f', 'vol-ctx--anterior')","dt within 1 year, age between 60-70",0.1674947061779872,0.1596283068510983,0.19060808017482136,0.11397966968328775,72,65.2 (2.9),0.57
"('so_rate_f', 'vol-ctx--anterior')","dt within 1 year, age older than 70",-0.00803750747603528,0.9513993829596714,0.009383602674092835,0.9442659106877056,60,76.9 (4.8),0.45
"('so_rate_f', 'vol-ctx--anterior')","dt between 1-2.5 years, age all",0.10940032085273746,0.17539560224661985,0.020853062298431264,0.7980661564981985,155,62.1 (11.6),0.47
"('so_rate_f', 'vol-ctx--anterior')","dt between 1-2.5 years, age younger than 60",0.19928140002411476,0.10867607259915193,0.17703255497177509,0.1616846379582726,66,51.2 (7.2),0.55
"('so_rate_f', 'vol-ctx--anterior')","dt between 1-2.5 years, age between 60-70",-0.3238641278438945,0.021769590719911223,-0.2806521812518515,0.05333590638507987,50,65.1 (2.9),0.54
"('so_rate_f', 'vol-ctx--anterior')","dt between 1-2.5 years, age older than 70",-0.026909408053752082,0.8708247716041373,-0.09383619849603266,0.5806648023520364,39,76.5 (4.1),0.26
"('so_rate_f', 'vol-ctx--anterior')","dt between 2.5-7 years, age all",0.10696398001490096,0.11037334699655486,-0.019063922401919908,0.7775845244076444,224,60.2 (12.8),0.58
"('so_rate_f', 'vol-ctx--anterior')","dt between 2.5-7 years, age younger than 60",-0.004758112743856645,0.9612058126841765,-0.0951656211639416,0.3342052249445101,107,49.6 (8.7),0.64
"('so_rate_f', 'vol-ctx--anterior')","dt between 2.5-7 years, age between 60-70",0.13154145408071216,0.29625853485609,0.11813879519714128,0.3564476876854056,65,64.8 (2.8),0.62
"('so_rate_f', 'vol-ctx--anterior')","dt between 2.5-7 years, age older than 70",-0.039077461932027276,0.7832804735943902,-0.02137247737824069,0.8828789975473053,52,76.3 (4.7),0.42
"('so_rate_f', 'vol-ctx--anterior')",zzz_blank,,,,,,,
"('so_rate_f', 'vol-thalamus')","dt all, age all",0.1997827194668328,4.973728206576115e-07,-0.002303368323817147,0.9543189074632925,623,60.9 (12.5),0.55
"('so_rate_f', 'vol-thalamus')","dt all, age younger than 60",0.10560408058186693,0.0750845973954863,-0.016550425187095406,0.781620433378194,285,49.9 (7.9),0.61
"('so_rate_f', 'vol-thalamus')","dt all, age between 60-70",0.13122460533096209,0.07342392582477256,0.06762873405905295,0.36036840886060306,187,65.1 (2.9),0.58
"('so_rate_f', 'vol-thalamus')","dt all, age older than 70",0.060647509200034366,0.45945931378022015,-0.07018663003972223,0.39500753745500194,151,76.6 (4.6),0.39
"('so_rate_f', 'vol-thalamus')","dt within 1 year, age all",0.1732584400973522,0.006667017838207034,-0.017428772104973962,0.7873566217475174,244,60.8 (12.8),0.57
"('so_rate_f', 'vol-thalamus')","dt within 1 year, age younger than 60",0.06044892167446175,0.5266462469033779,-0.023466083065692738,0.8077448290456236,112,49.4 (7.4),0.62
"('so_rate_f', 'vol-thalamus')","dt within 1 year, age between 60-70",0.11311766833100033,0.3441088839810119,0.02446218627482199,0.8406905683809377,72,65.2 (2.9),0.57
"('so_rate_f', 'vol-thalamus')","dt within 1 year, age older than 70",0.06590467874261483,0.6168630454544132,-0.04016767383131474,0.7646581363703959,60,76.9 (4.8),0.45
"('so_rate_f', 'vol-thalamus')","dt between 1-2.5 years, age all",0.14314276295692552,0.07559303499318609,-0.03711343400384448,0.64877828877667,155,62.1 (11.6),0.47
