pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",-0.020298746873236656,0.866566292295285,-0.17691946788631302,0.14587569064559983,71,68.0 (9.7),0.48
"('slowdelta_bandpower_total', 'vol-thalamus')",0.22544465289299948,0.058714354709065775,0.0037439950943116917,0.9756428570143424,71,68.0 (9.7),0.48
"('so_rate_f', 'vol-ctx--anterior')",-0.08419035358270349,0.4851462620358725,-0.1942405967890873,0.10975839896940986,71,68.0 (9.7),0.48
"('so_rate_f', 'vol-thalamus')",0.19284761285905833,0.10711773427184959,0.05499444078630716,0.6535669197527693,71,68.0 (9.7),0.48
"('ss_dens_f', 'vol-thalamus')",0.3464951859192915,0.003075569488160525,0.10680908309655524,0.3823814519568245,71,68.0 (9.7),0.48
"('ss_dens_f', 'vol-hippocampus')",0.14451931622013284,0.22918883670368873,-0.04926535624189502,0.6876863097393049,71,68.0 (9.7),0.48
"('fs_dens_c', 'vol-thalamus')",0.3554513822024334,0.0023506685735480174,0.09158873682986637,0.4541769775655281,71,68.0 (9.7),0.48
"('fs_dens_c', 'vol-hippocampus')",0.3354350547826897,0.004241665086378742,0.16453808627485,0.1766905676014921,71,68.0 (9.7),0.48
"('perc_r', 'vol-ctx--isthmuscingulate')",-0.027824896734570045,0.8178278038668227,-0.03426724524620544,0.779840369512099,71,68.0 (9.7),0.48
"('perc_r', 'vol-amygdala')",-0.005725399321784862,0.9622046854950906,-0.010544810301423945,0.9314712390070117,71,68.0 (9.7),0.48
"('perc_r', 'vol-brain-stem')",0.06894639997547478,0.5677818487391402,0.06783418939768662,0.579703653143673,71,68.0 (9.7),0.48
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.26844563405885535,0.023602777128735687,0.2292915038642637,0.05806904548818163,71,68.0 (9.7),0.48
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",-0.22664670887453975,0.05734455594932627,-0.17355652849632408,0.15381641214602518,71,68.0 (9.7),0.48
"('slowdelta_bandpower_total', 'mmse')",-0.05980545196051142,0.6644842694805052,-0.14727597318830948,0.2926295500024005,55,68.0 (10.1),0.49
"('so_rate_f', 'mmse')",-0.11244249353967939,0.4137347756289365,-0.17484191947575534,0.2105013149601391,55,68.0 (10.1),0.49
"('vol-ctx--anterior', 'mmse')",0.10636853541738046,0.439565141519184,0.06455134891022526,0.646080133316712,55,68.0 (10.1),0.49
"('vol-thalamus', 'mmse')",-0.04978173236552847,0.7181478642453326,-0.18605320217556326,0.18224645724237146,55,68.0 (10.1),0.49
"('ss_dens_f', 'mmse')",0.2741856764150908,0.042794210949379304,0.25811493882746794,0.06203359006427501,55,68.0 (10.1),0.49
"('fs_dens_c', 'mmse')",0.056267091788605665,0.6832539855241894,-0.005597076079650041,0.9682717219869359,55,68.0 (10.1),0.49
"('vol-hippocampus', 'mmse')",0.07951539941624616,0.5638907049348961,0.016637625117876084,0.9058746168106182,55,68.0 (10.1),0.49
"('perc_r', 'mmse')",0.32290272473941606,0.016194371013068844,0.32516185882664006,0.0175145987215346,55,68.0 (10.1),0.49
"('vol-ctx--isthmuscingulate', 'mmse')",0.14877602295643283,0.2783396979095025,0.1286577729360083,0.35854982490458087,55,68.0 (10.1),0.49
"('vol-amygdala', 'mmse')",0.2566060863909597,0.05860682737967599,0.22069045930983894,0.11228890946244348,55,68.0 (10.1),0.49
"('vol-brain-stem', 'mmse')",-0.06837361657464006,0.6198897789626235,-0.07905823548295028,0.5736320929990708,55,68.0 (10.1),0.49
"('alpha_bandpower_mean_o_w', 'mmse')",0.03144352205965383,0.8197305428613876,-0.0017352602549287827,0.990161014253333,55,68.0 (10.1),0.49
"('vol-total_ventricle', 'mmse')",-0.19891492274020828,0.14541954800738374,-0.15667393720818654,0.2625683640090509,55,68.0 (10.1),0.49
